[(2019-10-26 06:38:45,088) (main:49) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:43:22,778) (main:41) : INFO] "637451243459051522"
[(2019-10-26 06:43:22,778) (main:42) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:43:22,779) (main:43) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:45:04,902) (main:41) : INFO] "637451243459051522"
[(2019-10-26 06:45:04,902) (main:42) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:45:04,903) (main:43) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:45:04,903) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:45:30,507) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:45:30,507) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:45:30,508) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:45:30,508) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:45:30,508) (member:90) : DEBUG] "creating file for 84716401406775296"
[(2019-10-26 06:45:30,512) (member:90) : DEBUG] "creating file for 97502897012490240"
[(2019-10-26 06:45:30,518) (member:90) : DEBUG] "creating file for 102850966839119872"
[(2019-10-26 06:45:30,523) (member:90) : DEBUG] "creating file for 118072366390706176"
[(2019-10-26 06:45:30,527) (member:90) : DEBUG] "creating file for 181125548389433344"
[(2019-10-26 06:45:30,531) (member:90) : DEBUG] "creating file for 232875016927182848"
[(2019-10-26 06:45:30,535) (member:90) : DEBUG] "creating file for 270226978181873685"
[(2019-10-26 06:45:30,539) (member:90) : DEBUG] "creating file for 380098402978889728"
[(2019-10-26 06:45:30,544) (member:90) : DEBUG] "creating file for 427976128242778122"
[(2019-10-26 06:45:30,548) (member:90) : DEBUG] "creating file for 471455894438281219"
[(2019-10-26 06:45:30,553) (member:90) : DEBUG] "creating file for 577302311429210112"
[(2019-10-26 06:45:30,557) (member:90) : DEBUG] "creating file for 577303176458272768"
[(2019-10-26 06:45:30,561) (member:90) : DEBUG] "creating file for 582372258765602826"
[(2019-10-26 06:45:30,567) (member:90) : DEBUG] "creating file for 600108146987499544"
[(2019-10-26 06:45:30,571) (member:90) : DEBUG] "creating file for 637451243459051522"
[(2019-10-26 06:47:39,543) (main:42) : INFO] "637451243459051522"
[(2019-10-26 06:47:39,543) (main:43) : INFO] "The bot started successfully! :)"
[(2019-10-26 06:47:39,543) (main:44) : DEBUG] "Looking through all servers to make sure members and server data is correct"
[(2019-10-26 06:47:39,543) (guild:74) : DEBUG] "Checking files for the guild 493279314377441290"
[(2019-10-26 06:47:39,544) (member:74) : DEBUG] "creating file for 84716401406775296"
[(2019-10-26 06:47:39,548) (member:74) : DEBUG] "creating file for 97502897012490240"
[(2019-10-26 06:47:39,552) (member:74) : DEBUG] "creating file for 102850966839119872"
